Breite;Länge;Insekt
0.51;0.25;Marienkäfer
0.61;0.42;Marienkäfer
0.21;0.6;Raupe
0.16;0.85;Raupe
0.32;0.82;Raupe
0.39;0.89;Raupe
0.38;0.82;Raupe
0.1;0.45;Raupe
0.27;0.86;Raupe
0.17;0.37;Raupe
0.57;0.3;Marienkäfer
0.26;0.87;Raupe
0.6;0.47;Marienkäfer
0.37;0.88;Raupe
0.58;0.39;Marienkäfer
0.51;0.33;Marienkäfer
0.51;0.27;Marienkäfer
0.33;0.85;Raupe
0.59;0.29;Marienkäfer
0.4;0.23;Marienkäfer
0.46;0.25;Marienkäfer
0.5;0.29;Marienkäfer
0.2;0.92;Raupe
0.53;0.27;Marienkäfer
0.33;0.93;Raupe
0.47;0.32;Marienkäfer
0.65;0.5;Marienkäfer
0.63;0.4;Marienkäfer
0.46;0.28;Marienkäfer
0.36;0.74;Raupe
0.5;0.27;Marienkäfer
0.66;0.37;Marienkäfer
0.37;0.26;Marienkäfer
0.39;0.79;Raupe
0.32;0.68;Raupe
0.19;0.52;Raupe
0.38;0.27;Marienkäfer
0.34;0.69;Raupe
0.67;0.38;Marienkäfer
0.39;0.23;Marienkäfer
0.19;0.78;Raupe
0.6;0.42;Marienkäfer
0.19;0.95;Raupe
0.66;0.39;Marienkäfer
0.67;0.33;Marienkäfer
0.57;0.37;Marienkäfer
0.16;0.51;Raupe
0.51;0.28;Marienkäfer
0.38;0.89;Raupe
0.59;0.3;Marienkäfer
0.37;0.22;Marienkäfer
0.4;0.2;Marienkäfer
0.35;0.24;Marienkäfer
0.14;0.71;Raupe
0.47;0.3;Marienkäfer
0.35;0.91;Raupe
0.31;0.69;Raupe
0.31;0.81;Raupe
0.39;0.88;Raupe
0.38;0.22;Marienkäfer
0.13;0.47;Raupe
0.32;0.84;Raupe
0.37;0.26;Marienkäfer
0.1;0.91;Raupe
0.38;0.27;Marienkäfer
0.36;0.85;Raupe
0.12;0.83;Raupe
0.69;0.48;Marienkäfer
0.59;0.47;Marienkäfer
0.6;0.3;Marienkäfer
0.36;0.79;Raupe
0.17;0.62;Raupe
0.23;0.82;Raupe
0.15;0.41;Raupe
0.66;0.49;Marienkäfer
0.64;0.51;Marienkäfer
0.21;0.56;Raupe
0.38;0.29;Marienkäfer
0.3;0.96;Raupe
0.39;0.26;Marienkäfer
0.58;0.31;Marienkäfer
0.55;0.41;Marienkäfer
0.61;0.51;Marienkäfer
0.59;0.44;Marienkäfer
0.19;0.49;Raupe
0.16;0.4;Raupe
0.25;0.55;Raupe
0.32;0.75;Raupe
0.56;0.34;Marienkäfer
0.46;0.24;Marienkäfer
0.2;0.69;Raupe
0.35;0.23;Marienkäfer
0.39;0.21;Marienkäfer
0.22;0.58;Raupe
0.68;0.5;Marienkäfer
0.23;0.52;Raupe
0.13;0.26;Raupe
0.54;0.34;Marienkäfer
0.19;0.91;Raupe
0.31;0.69;Raupe
0.53;0.4;Marienkäfer
0.64;0.46;Marienkäfer
0.35;0.23;Marienkäfer
0.42;0.21;Marienkäfer
0.35;0.74;Raupe
0.23;0.62;Raupe
0.65;0.51;Marienkäfer
0.57;0.37;Marienkäfer
0.1;0.54;Raupe
0.39;0.81;Raupe
0.56;0.29;Marienkäfer
0.38;0.93;Raupe
