Entfernung,Start,Ziel
2,BREMEN - HEMELINGEN (A 1),KREUZ BREMEN - ARSTEN
2,KREUZ BREMEN - ARSTEN,BREMEN - HEMELINGEN (A 1)
4,KREUZ BREMEN - ARSTEN,BREMEN / BRINKUM (A 1)
4,BREMEN / BRINKUM (A 1),KREUZ BREMEN - ARSTEN
2,BREMEN / BRINKUM (A 1),DREIECK STUHR
2,DREIECK STUHR,BREMEN / BRINKUM (A 1)
11.5,DREIECK STUHR,GROSS IPPENER (A 1)
11.5,GROSS IPPENER (A 1),DREIECK STUHR
13,GROSS IPPENER (A 1),WILDESHAUSEN - NORD (A 1)
13,WILDESHAUSEN - NORD (A 1),GROSS IPPENER (A 1)
8,WILDESHAUSEN - NORD (A 1),WILDESHAUSEN - WEST (A 1)
8,WILDESHAUSEN - WEST (A 1),WILDESHAUSEN - NORD (A 1)
9,WILDESHAUSEN - WEST (A 1),AHLHORNER HEIDE (A 1)
9,AHLHORNER HEIDE (A 1),WILDESHAUSEN - WEST (A 1)
0.4,AHLHORNER HEIDE (A 1),DREIECK AHLHORNER HEIDE
0.4,DREIECK AHLHORNER HEIDE,AHLHORNER HEIDE (A 1)
5,DREIECK AHLHORNER HEIDE,KREUZ CLOPPENBURG
5,KREUZ CLOPPENBURG,DREIECK AHLHORNER HEIDE
10,KREUZ CLOPPENBURG,VECHTA (A 1)
10,VECHTA (A 1),KREUZ CLOPPENBURG
8,VECHTA (A 1),LOHNE / DINKLAGE (A 1)
8,LOHNE / DINKLAGE (A 1),VECHTA (A 1)
7,LOHNE / DINKLAGE (A 1),HOLDORF (A 1)
7,HOLDORF (A 1),LOHNE / DINKLAGE (A 1)
12,HOLDORF (A 1),NEUENKIRCHEN / VOERDEN (A 1)
12,NEUENKIRCHEN / VOERDEN (A 1),HOLDORF (A 1)
12,NEUENKIRCHEN / VOERDEN (A 1),BRAMSCHE (A 1)
12,BRAMSCHE (A 1),NEUENKIRCHEN / VOERDEN (A 1)
3,BRAMSCHE (A 1),DREIECK WALLENHORST
3,DREIECK WALLENHORST,BRAMSCHE (A 1)
3,DREIECK WALLENHORST,OSNABRUECK - NORD (A 1)
3,OSNABRUECK - NORD (A 1),DREIECK WALLENHORST
7,OSNABRUECK - NORD (A 1),OSNABRUECK - HAFEN (A 1)
7,OSNABRUECK - HAFEN (A 1),OSNABRUECK - NORD (A 1)
4,OSNABRUECK - HAFEN (A 1),KREUZ LOTTE / OSNABRUECK
4,KREUZ LOTTE / OSNABRUECK,OSNABRUECK - HAFEN (A 1)
11,KREUZ LOTTE / OSNABRUECK,LENGERICH (A 1)
11,LENGERICH (A 1),KREUZ LOTTE / OSNABRUECK
8,LENGERICH (A 1),LADBERGEN (A 1)
8,LADBERGEN (A 1),LENGERICH (A 1)
9,LADBERGEN (A 1),GREVEN (A 1)
9,GREVEN (A 1),LADBERGEN (A 1)
12,GREVEN (A 1),KREUZ MUENSTER - NORD
12,KREUZ MUENSTER - NORD,GREVEN (A 1)
9,KREUZ MUENSTER - NORD,KREUZ MUENSTER - SUED
9,KREUZ MUENSTER - SUED,KREUZ MUENSTER - NORD
15,KREUZ MUENSTER - SUED,ASCHEBERG (A 1)
15,ASCHEBERG (A 1),KREUZ MUENSTER - SUED
11,ASCHEBERG (A 1),KREUZ HAMM - BOCKUM / WERNE
11,KREUZ HAMM - BOCKUM / WERNE,ASCHEBERG (A 1)
5,KREUZ HAMM - BOCKUM / WERNE,HAMM / BERGKAMEN (A 1)
5,HAMM / BERGKAMEN (A 1),KREUZ HAMM - BOCKUM / WERNE
6,HAMM / BERGKAMEN (A 1),KAMENER KREUZ
6,KAMENER KREUZ,HAMM / BERGKAMEN (A 1)
3,KAMENER KREUZ,KAMEN - ZENTRUM (A 1)
3,KAMEN - ZENTRUM (A 1),KAMENER KREUZ
1,KAMEN - ZENTRUM (A 1),KREUZ SUEDKAMEN
1,KREUZ SUEDKAMEN,KAMEN - ZENTRUM (A 1)
4,KREUZ SUEDKAMEN,UNNA (A 1)
4,UNNA (A 1),KREUZ SUEDKAMEN
0.5,UNNA (A 1),KREUZ DORTMUND / UNNA
0.5,KREUZ DORTMUND / UNNA,UNNA (A 1)
10,KREUZ DORTMUND / UNNA,KREUZ SCHWERTE
10,KREUZ SCHWERTE,KREUZ DORTMUND / UNNA
4,KREUZ SCHWERTE,WESTHOFENER KREUZ
4,WESTHOFENER KREUZ,KREUZ SCHWERTE
5,WESTHOFENER KREUZ,HAGEN - NORD (A 1)
5,HAGEN - NORD (A 1),WESTHOFENER KREUZ
3,HAGEN - NORD (A 1),HAGEN - WEST (A 1)
3,HAGEN - WEST (A 1),HAGEN - NORD (A 1)
5,HAGEN - WEST (A 1),VOLMARSTEIN (A 1)
5,VOLMARSTEIN (A 1),HAGEN - WEST (A 1)
4,VOLMARSTEIN (A 1),GEVELSBERG (A 1)
4,GEVELSBERG (A 1),VOLMARSTEIN (A 1)
4,GEVELSBERG (A 1),HASSLINGHAUSEN (A 1)
4,HASSLINGHAUSEN (A 1),GEVELSBERG (A 1)
2,HASSLINGHAUSEN (A 1),KREUZ WUPPERTAL - NORD  (Nordteil)
2,KREUZ WUPPERTAL - NORD  (Nordteil),HASSLINGHAUSEN (A 1)
1,KREUZ WUPPERTAL - NORD  (Nordteil),KREUZ WUPPERTAL - NORD  (Südteil)
1,KREUZ WUPPERTAL - NORD  (Südteil),KREUZ WUPPERTAL - NORD  (Nordteil)
2,KREUZ WUPPERTAL - NORD  (Südteil),WUPPERTAL - LANGERFELD (A 1)
2,WUPPERTAL - LANGERFELD (A 1),KREUZ WUPPERTAL - NORD  (Südteil)
7,WUPPERTAL - LANGERFELD (A 1),WUPPERTAL - RONSDORF (A 1)
7,WUPPERTAL - RONSDORF (A 1),WUPPERTAL - LANGERFELD (A 1)
13,WUPPERTAL - RONSDORF (A 1),KREUZ REMSCHEID
13,KREUZ REMSCHEID,WUPPERTAL - RONSDORF (A 1)
8,KREUZ REMSCHEID,KREUZ BURSCHEID (A 1)
8,KREUZ BURSCHEID (A 1),KREUZ REMSCHEID
10,KREUZ BURSCHEID (A 1),KREUZ LEVERKUSEN
10,KREUZ LEVERKUSEN,KREUZ BURSCHEID (A 1)
3,KREUZ LEVERKUSEN,KREUZ LEVERKUSEN - WEST
3,KREUZ LEVERKUSEN - WEST,KREUZ LEVERKUSEN
2,KREUZ LEVERKUSEN - WEST,KREUZ KOELN - NIEHL
2,KREUZ KOELN - NIEHL,KREUZ LEVERKUSEN - WEST
5,KREUZ KOELN - NIEHL,KREUZ KOELN - NORD
5,KREUZ KOELN - NORD,KREUZ KOELN - NIEHL
4,KREUZ KOELN - NORD,KREUZ KOELN - BOCKLEMUEND
4,KREUZ KOELN - BOCKLEMUEND,KREUZ KOELN - NORD
5,KREUZ KOELN - BOCKLEMUEND,KOELN - LOEVENICH (A 1)
5,KOELN - LOEVENICH (A 1),KREUZ KOELN - BOCKLEMUEND
1,KOELN - LOEVENICH (A 1),KREUZ KOELN - WEST
1,KREUZ KOELN - WEST,KOELN - LOEVENICH (A 1)
1,KREUZ KOELN - WEST,FRECHEN (A 1)
1,FRECHEN (A 1),KREUZ KOELN - WEST
4,FRECHEN (A 1),KREUZ GLEUEL
4,KREUZ GLEUEL,FRECHEN (A 1)
5,KREUZ GLEUEL,HUERTH (A 1)
5,HUERTH (A 1),KREUZ GLEUEL
4,HUERTH (A 1),DREIECK ERFTTAL
4,DREIECK ERFTTAL,HUERTH (A 1)
2,DREIECK ERFTTAL,ERFTSTADT (A 1)
2,ERFTSTADT (A 1),DREIECK ERFTTAL
4,ERFTSTADT (A 1),KREUZ BLIESHEIM
4,KREUZ BLIESHEIM,ERFTSTADT (A 1)
11,KREUZ BLIESHEIM,EUSKIRCHEN (Nordteil) (A 1)
11,EUSKIRCHEN (Nordteil) (A 1),KREUZ BLIESHEIM
1,EUSKIRCHEN (Nordteil) (A 1),KREUZ EUSKIRCHEN
1,KREUZ EUSKIRCHEN,EUSKIRCHEN (Nordteil) (A 1)
4,KREUZ EUSKIRCHEN,WISSKIRCHEN (A 1)
4,WISSKIRCHEN (A 1),KREUZ EUSKIRCHEN
8,WISSKIRCHEN (A 1),BAD MUENSTEREIFEL / MECHERNICH (A 1)
8,BAD MUENSTEREIFEL / MECHERNICH (A 1),WISSKIRCHEN (A 1)
6,BAD MUENSTEREIFEL / MECHERNICH (A 1),DREIECK NETTERSHEIM
6,DREIECK NETTERSHEIM,BAD MUENSTEREIFEL / MECHERNICH (A 1)
8,DREIECK NETTERSHEIM,BLANKENHEIM (A 1)
8,BLANKENHEIM (A 1),DREIECK NETTERSHEIM
6.4,BLANKENHEIM (A 1),LOMMERSDORF (A 1)
6.4,LOMMERSDORF (A 1),BLANKENHEIM (A 1)
8,LOMMERSDORF (A 1),ADENAU (A 1)
8,ADENAU (A 1),LOMMERSDORF (A 1)
11,ADENAU (A 1),KELBERG (A 1)
11,KELBERG (A 1),ADENAU (A 1)
2,KELBERG (A 1),GEROLSTEIN N (A 1)
2,GEROLSTEIN N (A 1),KELBERG (A 1)
4,GEROLSTEIN N (A 1),GEROLSTEIN S (A 1)
4,GEROLSTEIN S (A 1),GEROLSTEIN N (A 1)
2,GEROLSTEIN S (A 1),DAUN (A 1)
2,DAUN (A 1),GEROLSTEIN S (A 1)
3,DAUN (A 1),DREIECK VULKANEIFEL
3,DREIECK VULKANEIFEL,DAUN (A 1)
2,DREIECK VULKANEIFEL,MEHREN (A 1)
2,MEHREN (A 1),DREIECK VULKANEIFEL
8,MEHREN (A 1),MANDERSCHEID (A 1)
8,MANDERSCHEID (A 1),MEHREN (A 1)
8,MANDERSCHEID (A 1),HASBORN (A 1)
8,HASBORN (A 1),MANDERSCHEID (A 1)
6,HASBORN (A 1),WITTLICH - NORD (A 1)
6,WITTLICH - NORD (A 1),HASBORN (A 1)
3,WITTLICH - NORD (A 1),WITTLICH - MITTE (A 1)
3,WITTLICH - MITTE (A 1),WITTLICH - NORD (A 1)
4,WITTLICH - MITTE (A 1),KREUZ WITTLICH
4,KREUZ WITTLICH,WITTLICH - MITTE (A 1)
6,KREUZ WITTLICH,SALMTAL (A 1)
6,SALMTAL (A 1),KREUZ WITTLICH
7,SALMTAL (A 1),FOEHREN (A 1)
7,FOEHREN (A 1),SALMTAL (A 1)
3,FOEHREN (A 1),DREIECK TRIER
3,DREIECK TRIER,FOEHREN (A 1)
3,DREIECK TRIER,DREIECK MOSELTAL
3,DREIECK MOSELTAL,DREIECK TRIER
8,DREIECK MOSELTAL,MEHRING (A 1)
8,MEHRING (A 1),DREIECK MOSELTAL
14,MEHRING (A 1),REINSFELD (A 1)
14,REINSFELD (A 1),MEHRING (A 1)
2,REINSFELD (A 1),HERMESKEIL (A 1)
2,HERMESKEIL (A 1),REINSFELD (A 1)
7,HERMESKEIL (A 1),BIERFELD (A 1)
7,BIERFELD (A 1),HERMESKEIL (A 1)
2,BIERFELD (A 1),DREIECK NONNWEILER
2,DREIECK NONNWEILER,BIERFELD (A 1)
1,DREIECK NONNWEILER,OTZENHAUSEN (A 1)
1,OTZENHAUSEN (A 1),DREIECK NONNWEILER
2,OTZENHAUSEN (A 1),BRAUNSHAUSEN (A 1)
2,BRAUNSHAUSEN (A 1),OTZENHAUSEN (A 1)
8,BRAUNSHAUSEN (A 1),PRIMSTAL (A 1)
8,PRIMSTAL (A 1),BRAUNSHAUSEN (A 1)
3,PRIMSTAL (A 1),THOLEY - HASBORN (A 1)
3,THOLEY - HASBORN (A 1),PRIMSTAL (A 1)
4,THOLEY - HASBORN (A 1),THOLEY (A 1)
4,THOLEY (A 1),THOLEY - HASBORN (A 1)
6,THOLEY (A 1),EPPELBORN (A 1)
6,EPPELBORN (A 1),THOLEY (A 1)
5,EPPELBORN (A 1),ILLINGEN (A 1)
5,ILLINGEN (A 1),EPPELBORN (A 1)
4,ILLINGEN (A 1),KREUZ SAARBRUECKEN
4,KREUZ SAARBRUECKEN,ILLINGEN (A 1)
2,KREUZ SAARBRUECKEN,QUIERSCHIED (A 1)
2,QUIERSCHIED (A 1),KREUZ SAARBRUECKEN
3,QUIERSCHIED (A 1),HOLZ (A 1)
3,HOLZ (A 1),QUIERSCHIED (A 1)
3,HOLZ (A 1),RIEGELSBERG (A 1)
3,RIEGELSBERG (A 1),HOLZ (A 1)
1,RIEGELSBERG (A 1),SAARBRUECKEN - NEUHAUS (A 1)
1,SAARBRUECKEN - NEUHAUS (A 1),RIEGELSBERG (A 1)
1,SAARBRUECKEN - NEUHAUS (A 1),SAARBRUECKEN - VON DER HEYDT (A 1)
1,SAARBRUECKEN - VON DER HEYDT (A 1),SAARBRUECKEN - NEUHAUS (A 1)
1,SAARBRUECKEN - VON DER HEYDT (A 1),DREIECK VON DER HEYDT
1,DREIECK VON DER HEYDT,SAARBRUECKEN - VON DER HEYDT (A 1)
1,DREIECK VON DER HEYDT,SAARBRUECKEN - BURBACH (A 1)
1,SAARBRUECKEN - BURBACH (A 1),DREIECK VON DER HEYDT
3,KREUZ OBERHAUSEN,OBERHAUSEN - KOENIGSHARDT (A 2)
3,OBERHAUSEN - KOENIGSHARDT (A 2),KREUZ OBERHAUSEN
4,OBERHAUSEN - KOENIGSHARDT (A 2),BOTTROP (A 2)
4,BOTTROP (A 2),OBERHAUSEN - KOENIGSHARDT (A 2)
1,BOTTROP (A 2),DREIECK BOTTROP
1,DREIECK BOTTROP,BOTTROP (A 2)
3,DREIECK BOTTROP,GLADBECK - ELLINGHORST (A 2)
3,GLADBECK - ELLINGHORST (A 2),DREIECK BOTTROP
1,GLADBECK - ELLINGHORST (A 2),KREUZ GLADBECK
1,KREUZ GLADBECK,GLADBECK - ELLINGHORST (A 2)
6,KREUZ GLADBECK,GELSENKIRCHEN - BUER (A 2)
6,GELSENKIRCHEN - BUER (A 2),KREUZ GLADBECK
5,GELSENKIRCHEN - BUER (A 2),HERTEN (A 2)
5,HERTEN (A 2),GELSENKIRCHEN - BUER (A 2)
4,HERTEN (A 2),KREUZ RECKLINGHAUSEN
4,KREUZ RECKLINGHAUSEN,HERTEN (A 2)
2,KREUZ RECKLINGHAUSEN,RECKLINGHAUSEN - SUED (A 2)
2,RECKLINGHAUSEN - SUED (A 2),KREUZ RECKLINGHAUSEN
3,RECKLINGHAUSEN - SUED (A 2),RECKLINGHAUSEN - OST (A 2)
3,RECKLINGHAUSEN - OST (A 2),RECKLINGHAUSEN - SUED (A 2)
5,RECKLINGHAUSEN - OST (A 2),HENRICHENBURG (A 2)
5,HENRICHENBURG (A 2),RECKLINGHAUSEN - OST (A 2)
4,HENRICHENBURG (A 2),KREUZ DORTMUND - NORDWEST
4,KREUZ DORTMUND - NORDWEST,HENRICHENBURG (A 2)
2,KREUZ DORTMUND - NORDWEST,DORTMUND - MENGEDE (A 2)
2,DORTMUND - MENGEDE (A 2),KREUZ DORTMUND - NORDWEST
7,DORTMUND - MENGEDE (A 2),KREUZ DORTMUND - NORDOST
7,KREUZ DORTMUND - NORDOST,DORTMUND - MENGEDE (A 2)
4,KREUZ DORTMUND - NORDOST,DORTMUND - LANSTROP (A 2)
4,DORTMUND - LANSTROP (A 2),KREUZ DORTMUND - NORDOST
5,DORTMUND - LANSTROP (A 2),KAMEN / BERGKAMEN (A 2)
5,KAMEN / BERGKAMEN (A 2),DORTMUND - LANSTROP (A 2)
5,KAMEN / BERGKAMEN (A 2),KAMENER KREUZ
5,KAMENER KREUZ,KAMEN / BERGKAMEN (A 2)
2,KAMENER KREUZ,KREUZ BOENEN
2,KREUZ BOENEN,KAMENER KREUZ
3,KREUZ BOENEN,BOENEN (A 2)
3,BOENEN (A 2),KREUZ BOENEN
6,BOENEN (A 2),DREIECK HAMM
6,DREIECK HAMM,BOENEN (A 2)
0.5,DREIECK HAMM,HAMM (A 2)
0.5,HAMM (A 2),DREIECK HAMM
12,HAMM (A 2),HAMM - UENTROP (A 2)
12,HAMM - UENTROP (A 2),HAMM (A 2)
11,HAMM - UENTROP (A 2),BECKUM (A 2)
11,BECKUM (A 2),HAMM - UENTROP (A 2)
8,BECKUM (A 2),OELDE (A 2)
8,OELDE (A 2),BECKUM (A 2)
7,OELDE (A 2),HERZEBROCK - CLARHOLZ (A 2)
7,HERZEBROCK - CLARHOLZ (A 2),OELDE (A 2)
7,HERZEBROCK - CLARHOLZ (A 2),KREUZ RHEDA - WIEDENBRUECK
7,KREUZ RHEDA - WIEDENBRUECK,HERZEBROCK - CLARHOLZ (A 2)
8,KREUZ RHEDA - WIEDENBRUECK,GUETERSLOH (A 2)
8,GUETERSLOH (A 2),KREUZ RHEDA - WIEDENBRUECK
11,GUETERSLOH (A 2),KREUZ BIELEFELD
11,KREUZ BIELEFELD,GUETERSLOH (A 2)
2,KREUZ BIELEFELD,BIELEFELD - SENNESTADT (A 2)
2,BIELEFELD - SENNESTADT (A 2),KREUZ BIELEFELD
6,BIELEFELD - SENNESTADT (A 2),KREUZ BIELEFELD - ZENTRUM
6,KREUZ BIELEFELD - ZENTRUM,BIELEFELD - SENNESTADT (A 2)
8,KREUZ BIELEFELD - ZENTRUM,OSTWESTFALEN / LIPPE (A 2)
8,OSTWESTFALEN / LIPPE (A 2),KREUZ BIELEFELD - ZENTRUM
5,OSTWESTFALEN / LIPPE (A 2),HERFORD / BAD SALZUFLEN (A 2)
5,HERFORD / BAD SALZUFLEN (A 2),OSTWESTFALEN / LIPPE (A 2)
6,HERFORD / BAD SALZUFLEN (A 2),HERFORD - OST (A 2)
6,HERFORD - OST (A 2),HERFORD / BAD SALZUFLEN (A 2)
4,HERFORD - OST (A 2),EXTER (A 2)
4,EXTER (A 2),HERFORD - OST (A 2)
8,EXTER (A 2),KREUZ BAD OEYNHAUSEN
8,KREUZ BAD OEYNHAUSEN,EXTER (A 2)
3,KREUZ BAD OEYNHAUSEN,PORTA WESTFALICA (A 2)
3,PORTA WESTFALICA (A 2),KREUZ BAD OEYNHAUSEN
6,PORTA WESTFALICA (A 2),VELTHEIM (A 2)
6,VELTHEIM (A 2),PORTA WESTFALICA (A 2)
11,VELTHEIM (A 2),BAD EILSEN (Ausfahrt West) (A 2)
11,BAD EILSEN (Ausfahrt West) (A 2),VELTHEIM (A 2)
1,BAD EILSEN (Ausfahrt West) (A 2),BAD EILSEN (Ausfahrt Ost) (A 2)
1,BAD EILSEN (Ausfahrt Ost) (A 2),BAD EILSEN (Ausfahrt West) (A 2)
8,BAD EILSEN (Ausfahrt Ost) (A 2),REHREN (A 2)
8,REHREN (A 2),BAD EILSEN (Ausfahrt Ost) (A 2)
9,REHREN (A 2),LAUENAU (A 2)
9,LAUENAU (A 2),REHREN (A 2)
7,LAUENAU (A 2),BAD NENNDORF (A 2)
7,BAD NENNDORF (A 2),LAUENAU (A 2)
2,BAD NENNDORF (A 2),KREUZ BAD NENNDORF
2,KREUZ BAD NENNDORF,BAD NENNDORF (A 2)
6,KREUZ BAD NENNDORF,WUNSTORF - KOLENFELD (A 2)
6,WUNSTORF - KOLENFELD (A 2),KREUZ BAD NENNDORF
4,WUNSTORF - KOLENFELD (A 2),WUNSTORF - LUTHE (A 2)
4,WUNSTORF - LUTHE (A 2),WUNSTORF - KOLENFELD (A 2)
4,WUNSTORF - LUTHE (A 2),GARBSEN (Westteil) (A 2)
4,GARBSEN (Westteil) (A 2),WUNSTORF - LUTHE (A 2)
0.5,GARBSEN (Westteil) (A 2),GARBSEN (Ostteil) (A 2)
0.5,GARBSEN (Ostteil) (A 2),GARBSEN (Westteil) (A 2)
4,GARBSEN (Ostteil) (A 2),KREUZ HANNOVER - HERRENHAUSEN
4,KREUZ HANNOVER - HERRENHAUSEN,GARBSEN (Ostteil) (A 2)
2,KREUZ HANNOVER - HERRENHAUSEN,HANNOVER - NORDHAFEN (A 2)
2,HANNOVER - NORDHAFEN (A 2),KREUZ HANNOVER - HERRENHAUSEN
1,HANNOVER - NORDHAFEN (A 2),DREIECK HANNOVER - WEST
1,DREIECK HANNOVER - WEST,HANNOVER - NORDHAFEN (A 2)
5,DREIECK HANNOVER - WEST,HANNOVER / LANGENHAGEN (A 2)
5,HANNOVER / LANGENHAGEN (A 2),DREIECK HANNOVER - WEST
3,HANNOVER / LANGENHAGEN (A 2),HANNOVER - BOTHFELD (A 2)
3,HANNOVER - BOTHFELD (A 2),HANNOVER / LANGENHAGEN (A 2)
5,HANNOVER - BOTHFELD (A 2),HANNOVER - LAHE (A 2)
5,HANNOVER - LAHE (A 2),HANNOVER - BOTHFELD (A 2)
1,HANNOVER - LAHE (A 2),KREUZ HANNOVER - BUCHHOLZ
1,KREUZ HANNOVER - BUCHHOLZ,HANNOVER - LAHE (A 2)
4,KREUZ HANNOVER - BUCHHOLZ,KREUZ HANNOVER - OST
4,KREUZ HANNOVER - OST,KREUZ HANNOVER - BUCHHOLZ
5,KREUZ HANNOVER - OST,LEHRTE (A 2)
5,LEHRTE (A 2),KREUZ HANNOVER - OST
3,LEHRTE (A 2),LEHRTE - OST (A 2)
3,LEHRTE - OST (A 2),LEHRTE (A 2)
8,LEHRTE - OST (A 2),HAEMELERWALD (A 2)
8,HAEMELERWALD (A 2),LEHRTE - OST (A 2)
9,HAEMELERWALD (A 2),PEINE  (Westteil) (A 2)
9,PEINE  (Westteil) (A 2),HAEMELERWALD (A 2)
