Start,Ziel,Entfernung
UNNA (A 1),KREUZ DORTMUND / UNNA,0.5
KREUZ DORTMUND / UNNA,KREUZ SCHWERTE,10
KREUZ SCHWERTE,WESTHOFENER KREUZ,4
WESTHOFENER KREUZ,HAGEN - NORD (A 1),5
HAGEN - NORD (A 1),HAGEN - WEST (A 1),3
HAGEN - WEST (A 1),VOLMARSTEIN (A 1),5
VOLMARSTEIN (A 1),GEVELSBERG (A 1),4
GEVELSBERG (A 1),HASSLINGHAUSEN (A 1),4
HASSLINGHAUSEN (A 1),KREUZ WUPPERTAL - NORD  (Nordteil),2
KREUZ WUPPERTAL - NORD  (Nordteil),KREUZ WUPPERTAL - NORD  (Südteil),1
KREUZ WUPPERTAL - NORD  (Südteil),WUPPERTAL - LANGERFELD (A 1),2
WUPPERTAL - LANGERFELD (A 1),WUPPERTAL - RONSDORF (A 1),7
WUPPERTAL - RONSDORF (A 1),KREUZ REMSCHEID,13
KREUZ REMSCHEID,KREUZ BURSCHEID (A 1),8
KREUZ BURSCHEID (A 1),KREUZ LEVERKUSEN,10
KREUZ LEVERKUSEN,KREUZ LEVERKUSEN - WEST,3
KREUZ LEVERKUSEN - WEST,KREUZ KOELN - NIEHL,2
KREUZ KOELN - NIEHL,KREUZ KOELN - NORD,5
KREUZ KOELN - NORD,KREUZ KOELN - BOCKLEMUEND,4
KREUZ KOELN - BOCKLEMUEND,KOELN - LOEVENICH (A 1),5
KOELN - LOEVENICH (A 1),KREUZ KOELN - WEST,1
KREUZ KOELN - WEST,FRECHEN (A 1),1
FRECHEN (A 1),KREUZ GLEUEL,4
KREUZ GLEUEL,HUERTH (A 1),5
HUERTH (A 1),DREIECK ERFTTAL,4
DREIECK ERFTTAL,ERFTSTADT (A 1),2
ERFTSTADT (A 1),KREUZ BLIESHEIM,4
KREUZ BLIESHEIM,EUSKIRCHEN (Nordteil) (A 1),11
EUSKIRCHEN (Nordteil) (A 1),KREUZ EUSKIRCHEN,1
KREUZ EUSKIRCHEN,WISSKIRCHEN (A 1),4
WISSKIRCHEN (A 1),BAD MUENSTEREIFEL / MECHERNICH (A 1),8
BAD MUENSTEREIFEL / MECHERNICH (A 1),DREIECK NETTERSHEIM,6
DREIECK NETTERSHEIM,BLANKENHEIM (A 1),8
BLANKENHEIM (A 1),LOMMERSDORF (A 1),6.4
LOMMERSDORF (A 1),ADENAU (A 1),8
ADENAU (A 1),KELBERG (A 1),11
KELBERG (A 1),GEROLSTEIN N (A 1),2
GEROLSTEIN N (A 1),GEROLSTEIN S (A 1),4
GEROLSTEIN S (A 1),DAUN (A 1),2
DAUN (A 1),DREIECK VULKANEIFEL,3
DREIECK VULKANEIFEL,MEHREN (A 1),2
MEHREN (A 1),MANDERSCHEID (A 1),8
MANDERSCHEID (A 1),HASBORN (A 1),8
HASBORN (A 1),WITTLICH - NORD (A 1),6
WITTLICH - NORD (A 1),WITTLICH - MITTE (A 1),3
WITTLICH - MITTE (A 1),KREUZ WITTLICH,4
KREUZ WITTLICH,SALMTAL (A 1),6
SALMTAL (A 1),FOEHREN (A 1),7
FOEHREN (A 1),DREIECK TRIER,3
DREIECK TRIER,DREIECK MOSELTAL,3
DREIECK MOSELTAL,MEHRING (A 1),8
MEHRING (A 1),REINSFELD (A 1),14
REINSFELD (A 1),HERMESKEIL (A 1),2
HERMESKEIL (A 1),BIERFELD (A 1),7
BIERFELD (A 1),DREIECK NONNWEILER,2
DREIECK NONNWEILER,OTZENHAUSEN (A 1),1
OTZENHAUSEN (A 1),BRAUNSHAUSEN (A 1),2
BRAUNSHAUSEN (A 1),PRIMSTAL (A 1),8
PRIMSTAL (A 1),THOLEY - HASBORN (A 1),3
THOLEY - HASBORN (A 1),THOLEY (A 1),4
THOLEY (A 1),EPPELBORN (A 1),6
EPPELBORN (A 1),ILLINGEN (A 1),5
ILLINGEN (A 1),KREUZ SAARBRUECKEN,4
KREUZ SAARBRUECKEN,QUIERSCHIED (A 1),2
QUIERSCHIED (A 1),HOLZ (A 1),3
HOLZ (A 1),RIEGELSBERG (A 1),3
RIEGELSBERG (A 1),SAARBRUECKEN - NEUHAUS (A 1),1
SAARBRUECKEN - NEUHAUS (A 1),SAARBRUECKEN - VON DER HEYDT (A 1),1
SAARBRUECKEN - VON DER HEYDT (A 1),DREIECK VON DER HEYDT,1
DREIECK VON DER HEYDT,SAARBRUECKEN - BURBACH (A 1),1
KREUZ OBERHAUSEN,OBERHAUSEN - KOENIGSHARDT (A 2),3
OBERHAUSEN - KOENIGSHARDT (A 2),BOTTROP (A 2),4
BOTTROP (A 2),DREIECK BOTTROP,1
DREIECK BOTTROP,GLADBECK - ELLINGHORST (A 2),3
GLADBECK - ELLINGHORST (A 2),KREUZ GLADBECK,1
KREUZ GLADBECK,GELSENKIRCHEN - BUER (A 2),6
GELSENKIRCHEN - BUER (A 2),HERTEN (A 2),5
HERTEN (A 2),KREUZ RECKLINGHAUSEN,4
KREUZ RECKLINGHAUSEN,RECKLINGHAUSEN - SUED (A 2),2
RECKLINGHAUSEN - SUED (A 2),RECKLINGHAUSEN - OST (A 2),3
RECKLINGHAUSEN - OST (A 2),HENRICHENBURG (A 2),5
HENRICHENBURG (A 2),KREUZ DORTMUND - NORDWEST,4
KREUZ DORTMUND - NORDWEST,DORTMUND - MENGEDE (A 2),2
DORTMUND - MENGEDE (A 2),KREUZ DORTMUND - NORDOST,7
KREUZ DORTMUND - NORDOST,DORTMUND - LANSTROP (A 2),4
DORTMUND - LANSTROP (A 2),KAMEN / BERGKAMEN (A 2),5
KAMEN / BERGKAMEN (A 2),KAMENER KREUZ,5
KAMENER KREUZ,KREUZ BOENEN,2
KREUZ BOENEN,BOENEN (A 2),3
BOENEN (A 2),DREIECK HAMM,6
DREIECK HAMM,HAMM (A 2),0.5
HAMM (A 2),HAMM - UENTROP (A 2),12
HAMM - UENTROP (A 2),BECKUM (A 2),11
BECKUM (A 2),OELDE (A 2),8
OELDE (A 2),HERZEBROCK - CLARHOLZ (A 2),7
HERZEBROCK - CLARHOLZ (A 2),KREUZ RHEDA - WIEDENBRUECK,7
KREUZ RHEDA - WIEDENBRUECK,GUETERSLOH (A 2),8
GUETERSLOH (A 2),KREUZ BIELEFELD,11
KREUZ BIELEFELD,BIELEFELD - SENNESTADT (A 2),2
BIELEFELD - SENNESTADT (A 2),KREUZ BIELEFELD - ZENTRUM,6
KREUZ BIELEFELD - ZENTRUM,OSTWESTFALEN / LIPPE (A 2),8
OSTWESTFALEN / LIPPE (A 2),HERFORD / BAD SALZUFLEN (A 2),5
HERFORD / BAD SALZUFLEN (A 2),HERFORD - OST (A 2),6
HERFORD - OST (A 2),EXTER (A 2),4
EXTER (A 2),KREUZ BAD OEYNHAUSEN,8
KREUZ BAD OEYNHAUSEN,PORTA WESTFALICA (A 2),3
PORTA WESTFALICA (A 2),VELTHEIM (A 2),6
VELTHEIM (A 2),BAD EILSEN (Ausfahrt West) (A 2),11
BAD EILSEN (Ausfahrt West) (A 2),BAD EILSEN (Ausfahrt Ost) (A 2),1
BAD EILSEN (Ausfahrt Ost) (A 2),REHREN (A 2),8
REHREN (A 2),LAUENAU (A 2),9
LAUENAU (A 2),BAD NENNDORF (A 2),7
BAD NENNDORF (A 2),KREUZ BAD NENNDORF,2
KREUZ BAD NENNDORF,WUNSTORF - KOLENFELD (A 2),6
WUNSTORF - KOLENFELD (A 2),WUNSTORF - LUTHE (A 2),4
WUNSTORF - LUTHE (A 2),GARBSEN (Westteil) (A 2),4
GARBSEN (Westteil) (A 2),GARBSEN (Ostteil) (A 2),0.5
GARBSEN (Ostteil) (A 2),KREUZ HANNOVER - HERRENHAUSEN,4
KREUZ HANNOVER - HERRENHAUSEN,HANNOVER - NORDHAFEN (A 2),2
HANNOVER - NORDHAFEN (A 2),DREIECK HANNOVER - WEST,1
DREIECK HANNOVER - WEST,HANNOVER / LANGENHAGEN (A 2),5
HANNOVER / LANGENHAGEN (A 2),HANNOVER - BOTHFELD (A 2),3
HANNOVER - BOTHFELD (A 2),HANNOVER - LAHE (A 2),5
HANNOVER - LAHE (A 2),KREUZ HANNOVER - BUCHHOLZ,1
KREUZ HANNOVER - BUCHHOLZ,KREUZ HANNOVER - OST,4
KREUZ HANNOVER - OST,LEHRTE (A 2),5
LEHRTE (A 2),LEHRTE - OST (A 2),3
LEHRTE - OST (A 2),HAEMELERWALD (A 2),8
HAEMELERWALD (A 2),PEINE  (Westteil) (A 2),9
PEINE  (Westteil) (A 2),PEINE  (Ostteil) (A 2),2
PEINE  (Ostteil) (A 2),KREUZ WENDEBURG,10
KREUZ WENDEBURG,BRAUNSCHWEIG - WATENBUETTEL (A 2),1
BRAUNSCHWEIG - WATENBUETTEL (A 2),BRAUNSCHWEIG - HAFEN (A 2),3
BRAUNSCHWEIG - HAFEN (A 2),KREUZ BRAUNSCHWEIG - NORD,3
KREUZ BRAUNSCHWEIG - NORD,BRAUNSCHWEIG - FLUGHAFEN (A 2),3
BRAUNSCHWEIG - FLUGHAFEN (A 2),KREUZ BRAUNSCHWEIG - OST,5
KREUZ BRAUNSCHWEIG - OST,KREUZ WOLFSBURG / KOENIGSLUTTER,7
KREUZ WOLFSBURG / KOENIGSLUTTER,KOENIGSLUTTER (A 2),6
KOENIGSLUTTER (A 2),RENNAU (A 2),8
RENNAU (A 2),HELMSTEDT - WEST (A 2),5
HELMSTEDT - WEST (A 2),HELMSTEDT - ZENTRUM (A 2),3
HELMSTEDT - ZENTRUM (A 2),HELMSTEDT - OST (A 2),4
HELMSTEDT - OST (A 2),MARIENBORN / HELMSTEDT (A 2),1.5
MARIENBORN / HELMSTEDT (A 2),ALLERINGERSLEBEN (A 2),4
ALLERINGERSLEBEN (A 2),EILSLEBEN (A 2),9
EILSLEBEN (A 2),BORNSTEDT (A 2),6
BORNSTEDT (A 2),IRXLEBEN (A 2),9
IRXLEBEN (A 2),KREUZ MAGDEBURG,4
KREUZ MAGDEBURG,MAGDEBURG - KANNENSTIEG (A 2),3
MAGDEBURG - KANNENSTIEG (A 2),MAGDEBURG - ZENTRUM (A 2),2
MAGDEBURG - ZENTRUM (A 2),MAGDEBURG - ROTHENSEE (A 2),4
MAGDEBURG - ROTHENSEE (A 2),LOSTAU (A 2),4
LOSTAU (A 2),BURG - ZENTRUM (A 2),7
BURG - ZENTRUM (A 2),BURG - OST (A 2),5
BURG - OST (A 2),THEESSEN (A 2),12
THEESSEN (A 2),ZIESAR (A 2),13
ZIESAR (A 2),WOLLIN (A 2),15
WOLLIN (A 2),BRANDENBURG (A 2),13
BRANDENBURG (A 2),NETZEN (A 2),7
NETZEN (A 2),LEHNIN (A 2),4
LEHNIN (A 2),DREIECK WERDER,4
ELTEN (A 3),EMMERICH (A 3),5
EMMERICH (A 3),REES (A 3),15
REES (A 3),HAMMINKELN (A 3),13
HAMMINKELN (A 3),WESEL (A 3),13
WESEL (A 3),HUENXE (A 3),3
HUENXE (A 3),KREUZ DINSLAKEN - OST,6
KREUZ DINSLAKEN - OST,DINSLAKEN - NORD (A 3),1
DINSLAKEN - NORD (A 3),DINSLAKEN - SUED (A 3),4
DINSLAKEN - SUED (A 3),KREUZ OBERHAUSEN,3
KREUZ OBERHAUSEN,OBERHAUSEN - HOLTEN (A 3),3
OBERHAUSEN - HOLTEN (A 3),KREUZ OBERHAUSEN - WEST,3
KREUZ OBERHAUSEN - WEST,OBERHAUSEN - LIRICH (A 3),1
OBERHAUSEN - LIRICH (A 3),KREUZ KAISERBERG,4
KREUZ KAISERBERG,KREUZ KAISERBERG,5
KREUZ KAISERBERG,KREUZ BREITSCHEID,8
KREUZ BREITSCHEID,KREUZ RATINGEN - OST,7
KREUZ RATINGEN - OST,METTMANN (A 3),5
METTMANN (A 3),KREUZ HILDEN,8
KREUZ HILDEN,SOLINGEN (A 3),9
SOLINGEN (A 3),DREIECK LANGENFELD,1
DREIECK LANGENFELD,LEVERKUSEN - OPLADEN (A 3),6
LEVERKUSEN - OPLADEN (A 3),KREUZ LEVERKUSEN,2
KREUZ LEVERKUSEN,LEVERKUSEN (A 3),2
LEVERKUSEN (A 3),KREUZ LEVERKUSEN - SUED,1
KREUZ LEVERKUSEN - SUED,KOELN - MUELHEIM (A 3),4
KOELN - MUELHEIM (A 3),KOELN - DELLBRUECK (A 3),2
KOELN - DELLBRUECK (A 3),KREUZ KOELN - OST,2
KREUZ KOELN - OST,DREIECK KOELN - HEUMAR,4
DREIECK KOELN - HEUMAR,KOENIGSFORST (A 3),3
KOENIGSFORST (A 3),KREUZ LOHMAR,14
KREUZ LOHMAR,KREUZ BONN / SIEGBURG,6
KREUZ BONN / SIEGBURG,KREUZ DAMBROICH,4
KREUZ DAMBROICH,SIEBENGEBIRGE (A 3),7
SIEBENGEBIRGE (A 3),KREUZ BAD HONNEF / LINZ,6
KREUZ BAD HONNEF / LINZ,NEUSTADT (A 3),9
NEUSTADT (A 3),NEUWIED (A 3),8
NEUWIED (A 3),DIERDORF (A 3),6
DIERDORF (A 3),KREUZ MOGENDORF,11
KREUZ MOGENDORF,RANSBACH - BAUMBACH (A 3),2
RANSBACH - BAUMBACH (A 3),DREIECK DERNBACH,3
DREIECK DERNBACH,MONTABAUR  (Westteil) (A 3),5
MONTABAUR  (Westteil) (A 3),MONTABAUR  (Ostteil) (A 3),1
MONTABAUR  (Ostteil) (A 3),DIEZ (A 3),10
DIEZ (A 3),LIMBURG - NORD (A 3),9
LIMBURG - NORD (A 3),LIMBURG - SUED (A 3),2
LIMBURG - SUED (A 3),BAD CAMBERG (A 3),15
BAD CAMBERG (A 3),IDSTEIN (A 3),9
IDSTEIN (A 3),WIESBADEN / NIEDERNHAUSEN (A 3),10
WIESBADEN / NIEDERNHAUSEN (A 3),WIESBADENER KREUZ,11
WIESBADENER KREUZ,RAUNHEIM (A 3),7
RAUNHEIM (A 3),MOENCHHOF - DREIECK,1
MOENCHHOF - DREIECK,KELSTERBACH (A 3),5
KELSTERBACH (A 3),FRANKFURT - FLUGHAFEN  (Westteil) (A 3),3
FRANKFURT - FLUGHAFEN  (Westteil) (A 3),FRANKFURT - FLUGHAFEN  (Ostteil) (A 3),0.5
FRANKFURT - FLUGHAFEN  (Ostteil) (A 3),FRANKFURTER KREUZ,1
FRANKFURTER KREUZ,FRANKFURT - SUED (A 3),3
FRANKFURT - SUED (A 3),OFFENBACHER KREUZ,6
OFFENBACHER KREUZ,OFFENBACH (A 3),1
OFFENBACH (A 3),OBERTSHAUSEN (A 3),6
OBERTSHAUSEN (A 3),KREUZ HANAU (A 3),5
KREUZ HANAU (A 3),SELIGENSTADT (A 3),5
SELIGENSTADT (A 3),SELIGENSTAEDTER DREIECK,7
SELIGENSTAEDTER DREIECK,KREUZ STOCKSTADT,3
KREUZ STOCKSTADT,ASCHAFFENBURG (A 3),2
ASCHAFFENBURG (A 3),ASCHAFFENBURG - OST (A 3),7
ASCHAFFENBURG - OST (A 3),GOLDBACH (A 3),2
GOLDBACH (A 3),HOESBACH (A 3),2
HOESBACH (A 3),BESSENBACH / WALDASCHAFF (A 3),3
BESSENBACH / WALDASCHAFF (A 3),WEIBERSBRUNN (A 3),9
WEIBERSBRUNN (A 3),ROHRBRUNN (A 3),6
ROHRBRUNN (A 3),MARKTHEIDENFELD (A 3),16
MARKTHEIDENFELD (A 3),HELMSTADT (A 3),7
HELMSTADT (A 3),DREIECK WUERZBURG - WEST,4
DREIECK WUERZBURG - WEST,WUERZBURG / KIST (A 3),2
WUERZBURG / KIST (A 3),KREUZ WUERZBURG - HEIDINGSFELD,6
KREUZ WUERZBURG - HEIDINGSFELD,WUERZBURG / RANDERSACKER (A 3),6
WUERZBURG / RANDERSACKER (A 3),ROTTENDORF (A 3),7
ROTTENDORF (A 3),KREUZ BIEBELRIED,2
KREUZ BIEBELRIED,KITZINGEN / SCHWARZACH (A 3),9
KITZINGEN / SCHWARZACH (A 3),WIESENTHEID (A 3),10
WIESENTHEID (A 3),GEISELWIND (A 3),10
GEISELWIND (A 3),SCHLUESSELFELD (A 3),12
SCHLUESSELFELD (A 3),HOECHSTADT - NORD (A 3),12
HOECHSTADT - NORD (A 3),KREUZ POMMERSFELDEN,3
KREUZ POMMERSFELDEN,HOECHSTADT - OST (A 3),4
HOECHSTADT - OST (A 3),ERLANGEN - WEST (A 3),9
ERLANGEN - WEST (A 3),KREUZ HESSDORF,2
KREUZ HESSDORF,ERLANGEN - FRAUENAURACH (A 3),5
ERLANGEN - FRAUENAURACH (A 3),KREUZ FUERTH / ERLANGEN,4
KREUZ FUERTH / ERLANGEN,ERLANGEN - TENNENLOHE (A 3),4
ERLANGEN - TENNENLOHE (A 3),NUERNBERG - NORD (A 3),9
NUERNBERG - NORD (A 3),NUERNBERG / BEHRINGERSDORF (A 3),4
NUERNBERG / BEHRINGERSDORF (A 3),NUERNBERG - MOEGELDORF (A 3),1
NUERNBERG - MOEGELDORF (A 3),KREUZ NUERNBERG,4
KREUZ NUERNBERG,KREUZ ALTDORF,8
KREUZ ALTDORF,ALTDORF / BURGTHANN (A 3),4
ALTDORF / BURGTHANN (A 3),OBEROELSBACH (A 3),7
OBEROELSBACH (A 3),NEUMARKT   NEUMARKT - NORD (A 3),6
NEUMARKT   NEUMARKT - NORD (A 3),VELBURG (A 3),17
VELBURG (A 3),PARSBERG (A 3),10
PARSBERG (A 3),BERATZHAUSEN (A 3),11
BERATZHAUSEN (A 3),LAABER (A 3),6
LAABER (A 3),NITTENDORF (A 3),9
NITTENDORF (A 3),SINZING (A 3),8
SINZING (A 3),KREUZ REGENSBURG,3
KREUZ REGENSBURG,REGENSBURG - OST (A 3),3
REGENSBURG - OST (A 3),NEUTRAUBLING (A 3),3
NEUTRAUBLING (A 3),ROSENHOF (A 3),3
ROSENHOF (A 3),KIRCHROTH (A 3),9
KIRCHROTH (A 3),STRAUBING (A 3),6
STRAUBING (A 3),BOGEN (A 3),9
BOGEN (A 3),SCHWARZACH (A 3),6
SCHWARZACH (A 3),METTEN (A 3),9
METTEN (A 3),KREUZ DEGGENDORF,5
KREUZ DEGGENDORF,HENGERSBERG (A 3),9
HENGERSBERG (A 3),IGGENSBACH (A 3),9
IGGENSBACH (A 3),GARHAM / VILSHOFEN (A 3),7
GARHAM / VILSHOFEN (A 3),AICHA (A 3),5
AICHA (A 3),PASSAU - NORD (A 3),11
PASSAU - NORD (A 3),PASSAU - MITTE (A 3),5
PASSAU - MITTE (A 3),PASSAU - SUED (A 3),3
PASSAU - SUED (A 3),KREUZ POCKING,12
AACHEN - LAURENSBERG (A 4),KREUZ WUERSELEN,1
KREUZ WUERSELEN,AACHEN - ZENTRUM (A 4),1
AACHEN - ZENTRUM (A 4),KREUZ AACHEN  (Westteil),4
KREUZ AACHEN  (Westteil),KREUZ AACHEN  (Ostteil),0.5
KREUZ AACHEN  (Ostteil),ESCHWEILER - WEST (A 4),5
ESCHWEILER - WEST (A 4),ESCHWEILER - OST (A 4),3
ESCHWEILER - OST (A 4),WEISWEILER (A 4),2
WEISWEILER (A 4),LANGERWEHE (A 4),4
LANGERWEHE (A 4),DUEREN (A 4),5
DUEREN (A 4),KREUZ DUEREN,3
KREUZ DUEREN,BUIR (A 4),6.5
BUIR (A 4),KERPEN (A 4),6
KERPEN (A 4),KREUZ KERPEN,0.5
KREUZ KERPEN,KREUZ FRECHEN - KOENIGSDORF,6
KREUZ FRECHEN - KOENIGSDORF,FRECHEN - NORD (A 4),4
FRECHEN - NORD (A 4),KREUZ KOELN - WEST,2
KREUZ KOELN - WEST,KOELN - KLETTENBERG (A 4),6
KOELN - KLETTENBERG (A 4),KOELN - EIFELTOR (A 4),1
KOELN - EIFELTOR (A 4),KREUZ RADERTHA,2
KREUZ RADERTHA,KREUZ KOELN - SUED,1
KREUZ KOELN - SUED,KOELN - POLL (A 4),4
KOELN - POLL (A 4),KREUZ GREMBERG,2
KREUZ GREMBERG,DREIECK KOELN - HEUMAR,2
DREIECK KOELN - HEUMAR,KREUZ KOELN - OST,4
KREUZ KOELN - OST,KOELN - MERHEIM (A 4),2
KOELN - MERHEIM (A 4),REFRATH (A 4),3
REFRATH (A 4),BENSBERG (A 4),2
BENSBERG (A 4),MOITZFELD (A 4),4
MOITZFELD (A 4),UNTERESCHBACH (A 4),3
UNTERESCHBACH (A 4),KREUZ OVERATH,4
KREUZ OVERATH,OVERATH (A 4),3
OVERATH (A 4),ENGELSKIRCHEN (A 4),11
ENGELSKIRCHEN (A 4),BIELSTEIN (A 4),3
BIELSTEIN (A 4),GUMMERSBACH (A 4),4
GUMMERSBACH (A 4),KREUZ REICHSHOF / BERGNEUSTADT,9
KREUZ REICHSHOF / BERGNEUSTADT,ECKENHAGEN (A 4),6
ECKENHAGEN (A 4),KREUZ OLPE - SUED,9
KREUZ OLPE - SUED,WENDEN (A 4),0.5
WENDEN (A 4),KROMBACH (A 4),6
KROMBACH (A 4),KIRCHHEIMER DREIECK,176
KIRCHHEIMER DREIECK,BAD HERSFELD (A 4),10
BAD HERSFELD (A 4),FRIEDEWALD (A 4),11
FRIEDEWALD (A 4),WILDECK - HOENEBACH (A 4),7
WILDECK - HOENEBACH (A 4),WILDECK - OBERSUHL (A 4),7
WILDECK - OBERSUHL (A 4),GERSTUNGEN (A 4),2
GERSTUNGEN (A 4),WOMMEN (A 4),8
WOMMEN (A 4),HERLESHAUSEN (A 4),4
HERLESHAUSEN (A 4),EISENACH - WEST (A 4),7
EISENACH - WEST (A 4),EISENACH - OST (A 4),11
EISENACH - OST (A 4),SAETTELSTAEDT (A 4),9
SAETTELSTAEDT (A 4),WALTERSHAUSEN (A 4),6
WALTERSHAUSEN (A 4),GOTHA - BOXBERG (A 4),5
GOTHA - BOXBERG (A 4),GOTHA (A 4),8
GOTHA (A 4),WANDERSLEBEN (A 4),8
WANDERSLEBEN (A 4),NEUDIETENDORF (A 4),2
NEUDIETENDORF (A 4),KREUZ ERFURT,4
KREUZ ERFURT,ERFURT - WEST (A 4),4
ERFURT - WEST (A 4),ERFURT - OST (A 4),10
ERFURT - OST (A 4),ERFURT - VIESELBACH (A 4),3
ERFURT - VIESELBACH (A 4),NOHRA (A 4),5
NOHRA (A 4),WEIMAR (A 4),4
WEIMAR (A 4),APOLDA (A 4),7
APOLDA (A 4),MAGDALA (A 4),5
MAGDALA (A 4),SCHORBA (A 4),3
SCHORBA (A 4),JENA - GOESCHWITZ (A 4),9
JENA - GOESCHWITZ (A 4),JENA - ZENTRUM (A 4),2
JENA - ZENTRUM (A 4),STADTRODA (A 4),12
STADTRODA (A 4),HERMSDORFER KREUZ,5
HERMSDORFER KREUZ,HERMSDORF - OST (A 4),2
